# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,23484,23686,-1.06496e+33,-162396320,-162396320,-162396320,-162396320,147070528,-162396328,-162396328,-162396336,-162396336,-162396336,-162396344,-162396352,0,0,0,0,0
memcpyHtoD,23156.4,23334,-1.06496e+33,147068024,147068024,147070528,0,0,-162396328,-162396328,-162396336,-162396336,-162396336,-162396344,-162396352,0,0,0,0,0
memcpyHtoD,23216.4,23397,6.57022e-34,0,0,0,0,0,147074280,147075536,147076792,147078048,147079304,147080560,147081816,0,0,0,0,0
memcpyHtoD,23079.3,23257,6.57022e-34,0,0,0,0,0,147074280,147075536,147076792,147078048,147079304,147080560,147081816,0,0,0,0,0
memcpyHtoD,23105.3,23283,2.36936e-38,0,0,0,0,0,0,0,-986377,-1315342,-1644307,-1907480,-1052170,0,0,0,0,0
memcpyHtoD,23104.2,23282,0,0,0,0,0,0,0,0,-986377,-1315342,-1644307,-1907480,-1052170,0,0,0,0,0
memcpyHtoD,23335.4,23541,1.4013e-45,0,0,0,0,0,0,0,-1052170,-1315342,-1644307,-1907480,-1052170,0,0,0,0,0
memcpyHtoD,23393.8,23600,0,0,0,0,0,0,0,0,-1052170,-1315342,-1644307,129,-1052170,0,0,0,0,0
memcpyHtoD,23322.1,23522,4.2039e-45,0,0,0,0,0,0,0,-1052170,-1315342,-1644307,-162397232,-1052170,0,0,0,0,0
memcpyHtoD,23516.7,23721,0,0,0,0,0,0,0,0,-1052170,-1315342,-1644307,147081136,-1052170,0,0,0,0,0
memcpyHtoD,23372.7,23565,2.36936e-38,0,0,0,0,0,0,0,-1052170,-1315342,-1644307,0,-1052170,0,0,0,0,0
memcpyHtoD,23460.1,1,0,0,0,0,0,0,0,0,-1052170,-1315342,-1644307,0,-1052170,0,0,0,0,0
update_e,32411.5,32510,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,15.264,26,0.5,1,1,512,1,1,0,48,24,20,80,0,0,0,0,0,0,1
update_h,32614.1,32624,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32503.8,32514,1,64000,1,512,1,1,6144,64,9,613100,2452400,0,0,170720,0,3444872,0,6400
update_src,14.88,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32646,32657,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32519.8,32531,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.88,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32644.6,32654,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32350.2,32361,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.688,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32636.4,32647,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32450.1,32461,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.624,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32628.9,32639,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32460.2,32470,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.496,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32742.7,32752,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32476,32486,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.976,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32548.6,32559,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32449.5,32460,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.432,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32635,32645,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32418.4,32429,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.688,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32612.3,32622,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32434,32444,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.688,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32710.1,32720,1,64000,1,512,1,1,6144,64,8,613100,2452400,0,0,204768,0,3307648,0,6400
update_e,32456.2,32466,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.304,25,0.5,1,1,512,1,1,0,48,24,20,80,0,0,0,0,0,0,1
update_h,32607.5,32617,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32473.2,32483,1,64000,1,512,1,1,6144,64,9,613100,2452400,0,0,170720,0,3444872,0,6400
update_src,14.432,28,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32664.6,32675,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32462.5,32473,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.464,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32595,32605,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32404.5,32415,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.432,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32681.6,32691,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32350.6,32361,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.4,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32624.9,32636,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32397.5,32407,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.72,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32667,32677,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32412.4,32422,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.368,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32801.9,32812,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32487.9,32498,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.624,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32680.6,32691,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32436.9,32447,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.656,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32664.5,32674,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32495.8,32506,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.624,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32648.4,32658,1,64000,1,512,1,1,6144,64,8,613100,2452400,0,0,204768,0,3307648,0,6400
update_e,32484.9,32495,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.72,25,0.5,1,1,512,1,1,0,48,24,20,80,0,0,0,0,0,0,1
update_h,32639.5,32649,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32483.8,32494,1,64000,1,512,1,1,6144,64,9,613100,2452400,0,0,170720,0,3444872,0,6400
update_src,14.464,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32703.4,32714,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32503.5,32514,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.368,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32758.7,32768,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32468.7,32479,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,14.944,25,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32577.8,32588,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32382.7,32393,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.88,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32700.3,32710,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32463.2,32473,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,15.008,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32599.6,32609,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32381.7,32392,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,15.04,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32572.6,32583,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32410.1,32420,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,15.232,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32645.8,32656,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32435.4,32445,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,15.36,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32662.1,32672,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
update_e,32485.7,32495,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443376,0,6400
update_src,15.104,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32571.8,32582,1,64000,1,512,1,1,6144,64,8,613100,2452400,0,0,204768,0,3307648,0,6400
update_e,32402.9,32413,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170720,0,3444992,0,6400
update_src,14.88,25,0.5,1,1,512,1,1,0,48,24,20,80,0,0,0,0,0,0,1
update_h,32614.4,32624,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3307648,0,6400
update_e,32442.5,32452,1,64000,1,512,1,1,6144,64,9,613100,2452400,0,0,170720,0,3444872,0,6400
update_src,14.816,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32535.8,32545,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204768,0,3308048,0,6400
update_e,32433.4,32443,1,64000,1,512,1,1,6144,64,9,613120,2452480,0,0,170640,0,3443888,0,6400
update_src,14.976,26,0.5,1,1,512,1,1,0,48,24,0,0,0,0,0,0,0,0,0
update_h,32617.6,32628,1,64000,1,512,1,1,6144,64,8,613120,2452480,0,0,204864,0,3309200,0,6400
