# CUDA_PROFILE_LOG_VERSION 1.5
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,23456.1,23662,-1.13722e+33,-161462560,-161462560,0,0,0,-161462688,0,0,791698484,0,0,0,0,0,0,0,0
memcpyHtoD,23140.3,23320,-1.13722e+33,151283720,151283720,3,20,192,-161462688,0,65536,1551249500,0,0,144336336,0,0,0,0,0
memcpyHtoD,23116.4,23296,1.61077e-33,7602281,3014757,0,0,0,151286224,0,0,863525936,0,0,0,0,0,0,0,0
memcpyHtoD,23167.3,23346,1.61077e-33,7929968,2883683,0,69,18,151286224,0,0,774921264,0,0,144336336,0,0,0,0,0
memcpyHtoD,23124.4,23305,0,6422560,7602293,384,0,0,6422633,0,0,2019307612,0,0,0,0,0,0,0,0
memcpyHtoD,23087.4,23267,5.74532e-44,3080224,7536757,0,0,88,7340079,0,0,811348275,0,0,151383336,0,0,0,0,0
memcpyHtoD,23354.4,23565,2.52234e-44,3080306,7274604,18,384,0,7602297,0,1,1546673198,0,0,151383416,0,0,0,0,0
memcpyHtoD,23391.7,23606,4.48416e-43,6357091,3080300,0,0,0,7274600,0,0,1546662776,0,0,151397616,0,0,0,0,0
memcpyHtoD,23327.1,23538,0,6881388,3080290,87,18,256,3276910,0,0,811347760,0,0,-143169484,0,0,0,0,0
memcpyHtoD,23343.8,23555,0,7929968,6815860,0,0,0,3538990,0,0,875984988,0,0,0,0,0,0,0,0
memcpyHtoD,23388.1,23580,0,7209071,3014706,0,3,20,6553647,0,0,1550397532,0,0,0,0,0,0,0,0
memcpyHtoD,23460.2,1,0,3080246,6881380,192,0,0,7536745,0,0,811363632,0,0,2,0,0,0,0,0
update_e,39959.8,40016,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.944,26,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40450.1,40461,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39863.3,39874,1,64000,1,512,1,1,0,80,9,3269970,2452400,0,0,136576,0,3102120,0,6400
update_src,14.624,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40388.7,40399,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39980.1,39990,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.72,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40816.8,40827,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,40021.5,40032,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.336,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40437.8,40448,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40003.6,40013,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.752,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40324.4,40335,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39983.6,39994,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.88,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40432.1,40442,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39945.7,39955,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,15.04,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40486.6,40497,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40003.2,40013,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.528,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40509.8,40519,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39917.6,39927,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.656,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40412.9,40423,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39887.6,39897,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.528,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40475.9,40485,1,64000,1,512,1,1,0,80,9,3269968,2452400,0,0,170640,0,2930896,0,6400
update_e,40003,40013,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.24,25,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40497.2,40507,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40009.9,40019,1,64000,1,512,1,1,0,80,9,3269970,2452400,0,0,136576,0,3102120,0,6400
update_src,14.24,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40419.8,40430,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,40003.5,40014,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.464,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40522.7,40532,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39944.4,39954,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.24,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40584.3,40594,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39955.4,39966,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.56,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40487.7,40498,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39842,39852,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.496,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40620.4,40630,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39925.9,39936,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.496,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40706.6,40716,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40086.6,40097,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.336,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40478.2,40488,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,40056.7,40067,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,15.008,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40445.8,40456,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39937.3,39947,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.464,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40400.7,40410,1,64000,1,512,1,1,0,80,9,3269968,2452400,0,0,170640,0,2930896,0,6400
update_e,39921.9,39932,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.528,26,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40663.5,40673,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39981.3,39991,1,64000,1,512,1,1,0,80,9,3269970,2452400,0,0,136576,0,3102120,0,6400
update_src,14.176,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40580.3,40590,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39914,39924,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.24,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40477.8,40488,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39959.3,39970,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.912,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40445.1,40455,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40144.8,40155,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.816,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40428.2,40438,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39899,39909,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.848,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40454.6,40465,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,40011.5,40022,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.848,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40562.4,40572,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39969.5,39979,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.944,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40551.9,40562,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,40011.1,40021,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.912,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40495,40505,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,40090.7,40102,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,15.232,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40510.1,40520,1,64000,1,512,1,1,0,80,9,3269968,2452400,0,0,170640,0,2930896,0,6400
update_e,40000.6,40011,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.912,26,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40417.9,40428,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40022,40032,1,64000,1,512,1,1,0,80,9,3269970,2452400,0,0,136576,0,3102120,0,6400
update_src,14.88,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40373.5,40383,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,40043.1,40054,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.88,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40406.7,40417,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,40008,40018,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.752,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40396.2,40406,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39926.2,39936,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.784,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40528.4,40538,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,40067.5,40078,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.528,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40490.6,40500,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39971.5,39981,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,15.2,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40585.5,40595,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39958.8,39969,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,15.104,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40370.9,40380,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39976.7,39987,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.944,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40387.5,40397,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39937.5,39947,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.752,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40368.3,40378,1,64000,1,512,1,1,0,80,9,3269968,2452400,0,0,170640,0,2930896,0,6400
update_e,40117.9,40128,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.656,25,0.5,1,1,512,1,1,0,40,24,20,80,0,0,0,0,0,0,1
update_h,40485.9,40496,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,40021.6,40031,1,64000,1,512,1,1,0,80,9,3269970,2452400,0,0,136576,0,3102120,0,6400
update_src,14.592,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40520,40530,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,40146.8,40157,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.528,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40475.6,40486,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,39980.7,39991,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.784,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40435.2,40445,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
update_e,39897.1,39907,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136576,0,3102320,0,6400
update_src,14.496,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40418.4,40428,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2931488,0,6400
update_e,39985.6,39995,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3101552,0,6400
update_src,14.752,26,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40488.2,40498,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170720,0,2932272,0,6400
update_e,40210.7,40220,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,136512,0,3100864,0,6400
update_src,14.528,25,0.5,1,1,512,1,1,0,40,24,0,0,0,0,0,0,0,0,0
update_h,40444.3,40454,1,64000,1,512,1,1,0,80,9,3270080,2452480,0,0,170640,0,2930896,0,6400
